question,volume,vpin_score,price_volatility,max_single_move,final_price,starting_price,total_price_move,anomaly_score,suspicion_score
Stable FDV above $2B one day after launch?,2108189.721855,0.26884729753367154,0.06717622875598588,0.56,0.0015,0.77,0.7685000000000001,-1,0.15868351881923826
Over $500K committed to the Sol Raffle public sale?,45128.015107,0.9882583170254404,0.19638844638878325,0.497,0.0075,0.765,0.7575000000000001,-1,0.10743707180197737
Owlto FDV above $200M one day after launch?,42670.775519,0.5884773662551441,0.1737842891824997,0.5635000000000001,0.9915,0.205,0.7865000000000001,-1,0.08732472300445493
Seeker FDV above $100M one day after launch?,314602.962484,0.013123359580052504,0.1206119058547291,0.46,0.755,0.73,0.025000000000000022,-1,0.0811049106889844
Trove FDV above $5M one day after launch?,234777.440695,1.0,0.14214654410150107,0.3949999999999999,0.0005,0.815,0.8145,-1,0.04912834947121669
"Will Bitcoin dip to $75,000 by December 31, 2026?",1115325.716063,0.09297052154195012,0.01639143548910557,0.09999999999999998,0.93,0.725,0.20500000000000007,-1,0.04336092296498961
"Will Bitcoin dip to $65,000 by December 31, 2026?",1535035.016154,0.09003215434083602,0.03724450840103175,0.275,0.87,0.59,0.28,-1,0.03392721368273044
Will the AAVE token alignment proposal pass?,65029.402962,0.4238081310324655,0.14700866943445512,0.545,0.0005,0.725,0.7245,-1,0.027082216203629605
Kinetiq FDV above $250M one day after launch?,830005.758609,0.31752458068247547,0.04020658688625356,0.17499999999999993,0.0015,0.825,0.8235,-1,0.014697913050913725
Over $2M committed to the Infinex public sale?,731215.487708,0.9908779931584949,0.09242642531885688,0.33000000000000007,0.9995,0.565,0.4345000000000001,-1,0.012060557339209521
"Will Ethereum dip to $2,500 by December 31, 2026?",372366.979918,0.02173913043478263,0.01905188087132465,0.08499999999999996,0.85,0.8,0.04999999999999993,-1,0.011164929606717888
Will Infrared launch a token by December 31 2025?,77732.697708,0.11399399399399388,0.09692203654614402,0.5650000000000001,0.9995,0.525,0.47450000000000003,-1,0.0016029002756505761
Over $15M committed to the Trove public sale?,1169626.421773,0.8571428571428571,0.04894895300208167,0.16500000000000004,0.11,0.53,0.42000000000000004,-1,0.0012265973280711773
Elsa FDV above $100M one day after launch?,64517.766094,1.0,0.13872815143293735,0.39,0.991,0.235,0.756,1,-0.004906389312284598
Fogo FDV above $700M one day after launch?,1133049.348475,0.0855673889092912,0.04511892175130076,0.32999999999999996,0.007,0.24,0.23299999999999998,1,-0.009058974774193818
ETHGAS FDV above $200M one day after launch?,59478.473801,0.29715302491103207,0.11720514059843522,0.51,0.874,0.54,0.33399999999999996,1,-0.024394984560617727
Moonbirds FDV above $300M one day after launch?,451694.821402,0.21100917431192662,0.12094024644375645,0.37,0.185,0.415,0.22999999999999998,1,-0.029291868504329965
Brevis FDV above $100M one day after launch?,476045.966649,0.7673545966228885,0.021831534919813055,0.07250000000000001,0.9995,0.795,0.20450000000000002,1,-0.031880708909531985
Fabric FDV above $300M one day after launch?,492155.779525,0.0848462393479065,0.07093175926113271,0.42899999999999994,0.964,0.735,0.22899999999999998,1,-0.034224192839137135
Rainbow FDV above $30M one day after launch?,131004.428941,1.0,0.13224999999999998,0.34450000000000003,0.9995,0.575,0.4245000000000001,1,-0.034504644398852924
Bitcoin below MicroStrategy average buy price in 2026?,10493.589169,0.18518518518518517,0.014456291882775484,0.06000000000000005,0.77,0.72,0.050000000000000044,1,-0.04418325021666836
Zama FDV above $1B one day after launch?,905444.410696,0.19519606424540592,0.042533062527937815,0.26,0.0005,0.675,0.6745000000000001,1,-0.04452645990168824
Espresso FDV above $200M one day after launch?,136127.009099,0.4658753709198814,0.1153583411591897,0.4645,0.9995,0.45,0.5495000000000001,1,-0.04925714734983
"Will BNB dip to $600 by December 31, 2026?",7199.065719,0.029748283752860386,0.031954184773961405,0.26,0.64,0.575,0.06500000000000006,1,-0.0496616431764863
Sentient FDV above $600M one day after launch?,335104.531607,0.0535972959922743,0.041209344088537096,0.38650000000000007,0.9915,0.825,0.1665000000000001,1,-0.050077234493072276
Over $2M committed to the Sol Raffle public sale?,18725.435562,1.0,0.10040947415458364,0.27999999999999997,0.001,0.59,0.589,1,-0.05363838856803066
"Will UNI dip to $3.00 by December 31, 2026?",13221.496416,0.03990024937655853,0.05089900470679841,0.41999999999999993,0.65,0.49,0.16000000000000003,1,-0.05765700746732971
Will the Bitcoin Volatility Index hit 80 in 2026?,1898.138876,0.07103825136612021,0.06316666605758947,0.26,0.415,0.35,0.065,1,-0.05779418251655016
Bitway FDV above $100M one day after launch?,133291.316374,0.3200663349917081,0.07994196627512361,0.479,0.994,0.415,0.579,1,-0.06058989624905814
Zama FDV above $400M one day after launch?,374872.429212,0.20349154391707588,0.11649999702780779,0.405,0.132,0.505,0.373,1,-0.06108023968449999
