question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,directional_consensus,order_flow_imbalance,wallet_concentration,wallet_age_median_days,cross_market_wallet_flag,label,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
"US strikes Iran by January 14, 2026?",13619741.635223,-0.11625624597043666,0.15,0.20000000000000023,0.009695359714832655,0.03,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,0.9999999999999997,0.6711164852763934,0.1810344827586206,0.8419959264627513,0.6839180935253213,0.8889245523947196,487.5,6.0,,0.0,False,False,0.07647115618753295,0.7621724444669343,0.017172712318556455,0.09889653182770772,2026-01-14T00:00:00Z
"US strikes Iran by February 28, 2026?",89652867.363489,-0.06868399802032177,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,0.014887003384781763,0.004146120747416329,0.0225852593540615,0.5507702930208238,0.08172107975265167,0.9216365473344328,324.0,7.0,,1.0,True,True,0.44887517020587253,0.41755177038445396,0.8506464925471248,0.527663264683052,2026-01-31T00:00:00Z
"US strikes Iran by February 13, 2026?",15146244.148657,-0.14325115815218564,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,0.07595026142770613,0.055131843673151736,0.0390490104927613,0.6140451160336794,0.24692832533998704,0.9075406234266552,244.0,5.0,,0.0,False,False,0.2201846645505152,0.32425462216163187,0.4560971050869827,0.27257065053836455,2026-01-31T00:00:00Z
US government shutdown Saturday?,157296576.448084,-0.0,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.25,-0.030000000000000027,0.18499999999999994,0.023122544260420076,0.009736219075127029,0.0290191024404589,0.682218954809471,0.44610199086135466,0.9665348244598186,403.5,11.0,,0.0,False,False,0.11610364039104636,0.4748258017594206,0.10267611996558312,0.13135424437437243,2026-01-31T00:00:00Z
Will Karol Nawrocki be the next President of Poland?,31735999.949038,-0.15149589737514696,0.265,0.0,0.006049815833239551,0.025000000000000022,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.0024024643445130713,0.0019447642593665218,0.016952506596306,0.7296345084615821,0.45926901692316446,0.9323638475306579,574.0,9.0,,0.0,False,False,0.1251198436012942,0.30974237669322596,0.22896858311954288,0.1551207181595405,2025-05-18T12:00:00Z
Will Rafał Trzaskowski be the next President of Poland?,40863065.298881,-0.1362706295125896,0.30500000000000005,0.0,0.004996603645028676,0.020000000000000018,0.04500000000000004,0.03500000000000003,0.025000000000000022,0.0028586174242470367,0.002111083404457648,0.0118483412322274,0.8895259264108027,0.7790518528216053,0.9559562078056423,568.0,5.0,,0.0,False,False,0.15980619242686975,0.2776515750750496,0.4380142137319153,0.22134006582028787,2025-05-18T12:00:00Z
Will Pierre Poilievre be the next Canadian Prime Minister?,67376035.838465,-0.13875442943729205,0.2195,0.0,0.0034017277851038415,0.015499999999999986,0.0050000000000000044,-0.004500000000000004,-0.0005000000000000004,0.007838567935139899,0.00440683218389393,0.0099918584856783,0.7793085134200546,0.5586170268401194,0.9509051688295114,610.5,8.0,,0.0,False,False,0.14504486478797768,0.24803513558629425,0.18976132646469362,0.1591376706632367,2025-04-28T12:00:00Z
Will Mark Carney be the next Canadian Prime Minister?,36416000.185007,-0.14849431439457095,0.22050000000000003,0.0,0.0028576852295139816,0.013000000000000012,0.0030000000000000027,0.0044999999999999485,0.0010000000000000009,0.010070476958235227,0.006327052403891328,0.0103056217856509,0.8464576593726932,0.6929153187453893,0.9641226752259191,649.0,8.0,,0.0,False,False,0.12897415439396162,0.31531398667651755,0.1288035998327875,0.13825703509585457,2025-04-28T12:00:00Z
Will the next Prime Minister of Hungary be Viktor Orbán?,25456113.707224935,-0.12744457538620318,0.305,0.5,0.004985185152621435,0.010000000000000009,0.020000000000000018,-0.010000000000000009,-0.010000000000000009,0.038353607031777766,0.014417300009358529,0.0086766267334484,0.644409751234419,0.28747040781813743,0.9570733340514965,370.5,5.0,,0.0,False,False,0.09228878775824023,0.3324521765385871,0.2693657995921487,0.13971235956403927,2026-04-12T00:00:00Z
Will the next Prime Minister of Hungary be Péter Magyar?,24555476.477281053,-0.07173795207195371,0.30500000000000005,1.0,0.004382281320814535,0.010000000000000009,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.028307611687855037,0.009460806612878023,0.010239426349052,0.6963553107219546,0.3786728954487697,0.9532289359666444,337.5,4.0,,0.0,False,False,0.09115343800118174,0.4557303978071038,0.0048875382164507005,0.09212910603453163,2026-04-12T00:00:00Z
Iran x Israel/US conflict ends by April 15?,17450416.216830038,-0.07536418535644634,0.5575,0.013377926421404692,0.048874996737825464,0.15200000000000002,0.29900000000000004,0.040000000000000036,0.19200000000000006,0.004022983159719841,0.0016735253374714522,0.0339739027283511,0.5367900916793178,0.49074380263531053,0.9319569060208566,257.0,6.0,,0.0,False,False,0.12990111603476315,0.503412207534295,0.09973491060480809,0.1425434295237487,2026-04-15T00:00:00Z
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,17826731.742495,-0.07306034709671522,0.745,0.06896551724137938,0.04488050630378629,0.29000000000000004,0.29,0.0,-0.09500000000000003,0.00649337316453311,0.0031813705400848074,0.0217018999197217,0.764955352792504,0.37447398793142594,0.9583812799708147,537.5,9.0,,0.0,False,False,0.1057108691681134,0.4295010231668728,0.044556880968913595,0.10966957922821141,2025-06-24T12:00:00Z
Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,17848349.233334,-0.06276902749133323,0.7515000000000001,0.05772495755517831,0.04297631918702023,0.2859999999999999,0.29450000000000004,-0.0040000000000000036,0.10400000000000004,0.010702412630828443,0.004280283382843035,0.0144042917185882,0.5309193426917426,0.166222983053516,0.9554767033223401,499.5,9.0,,0.0,False,False,0.17763754772458784,0.5217606633270359,0.05992673985964425,0.17130154193172153,2025-06-24T12:00:00Z
Maduro out in 2025?,34641400.627049,-0.0983318248618617,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.006,-0.0035,-0.0025,0.0015957016441257054,0.00042346035236486603,0.0099586940530753,0.881332119344071,0.762664238688142,0.9555178031543352,531.5,7.0,,0.6,False,True,0.4503908765530538,0.35698801987784906,0.12843452405831246,0.3813294632203453,2025-12-31T12:00:00Z
Will Trump visit China by March 31?,10369639.104046939,-0.02530042619808015,0.61,0.0,0.062124153854663675,0.415,0.49,0.0,-0.024999999999999994,0.010567789249768974,0.0025314537673058234,0.0543300653594771,0.7067180266139842,0.5653840671301509,0.864561458573673,359.5,2.0,,0.0,False,False,0.05764570504502107,0.5129071789876143,0.017075178003553477,0.07229467333385722,2025-10-31T00:00:00Z
"Will Melania say ""Career"" during AI talk on Friday?",31097575.061839,-0.03877604544153784,0.5,0.13793103448275873,0.05003998401278722,0.13,0.14500000000000002,-0.14500000000000002,-0.14500000000000002,0.004022983159719841,0.002111083404457648,0.0390490104927613,,0.5607936871934202,,490.0,1.0,,0.0,False,False,0.0698160280617988,0.4233581817577834,0.3521178233874714,0.14395349481173253,2026-01-16T00:00:00Z
Will Trump talk to Xi Jinping in March?,12358578.449661002,0.16699732894044628,0.37,0.0056980056980057035,0.13444748689098632,0.6815,0.351,-0.7255,-0.872,0.1863690531999243,0.111897991678267,0.0770853307766059,0.5815219826498259,0.6368036574210446,0.8964828861465042,450.0,4.0,,0.0,False,False,0.0666388819288496,1.0,0.0,0.09997916144663721,2026-03-31T00:00:00Z
Lord Miles completes 40-day water fast in the desert?,14296822.328016,-0.10153721837060414,0.225,0.01830663615560641,0.02176999861061486,0.13,0.2185,-0.0585,-0.0585,0.06395537103501928,0.02145846999600282,0.011714800650578,0.6502925505127981,0.4996898397490401,0.9536717908190333,537.0,6.0,,0.0,False,False,0.0666388819288496,0.31716197305861094,0.38939877639287535,0.14371701537814283,2025-09-30T00:00:00Z
Government shutdown on Saturday?,13550398.086217,0.05967092955432096,0.83,0.007942238267148023,0.08310110587771193,0.5715,0.6924999999999999,-0.10249999999999998,-0.07899999999999999,0.03248191568886023,0.018309944443176445,0.0600002744124144,0.5082021349931936,0.5607936871934202,0.9537133890000336,492.5,6.0,,0.0,False,False,0.0666388819288496,0.7093065764586376,8.150592357806047e-05,0.0854607914542847,2026-02-14T00:00:00Z
US government shutdown by October 1?,13491651.789377,-0.08082306145590812,0.385,0.0,0.027566537472630978,0.135,0.31000000000000005,0.09000000000000008,0.14,0.10944623295571956,0.038426167675237426,0.0318299465829616,0.7943305125426556,0.5951384474931287,0.9550003894309658,587.5,8.0,,0.0,False,False,0.10105155053668191,0.4879660658972125,0.12304735708165522,0.1247964376137031,2025-10-01T00:00:00Z
Will South Korea presidential election winner get over 50% of votes?,13094030.56774,-0.07050770498524683,0.345,0.0,0.01794312224877278,0.08000000000000007,0.0,0.15000000000000002,0.11499999999999999,0.12573373027312046,0.10181120513139612,0.0814259277296191,0.7480235053820847,0.4895265100424281,0.9127191714227127,415.5,1.0,,0.0,False,False,0.05858825536901754,0.47797923560963484,0.44770067295698357,0.1573802878986416,2025-06-03T12:00:00Z
"Israel strikes Iran by June 25, 2025?",,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.48074944345728,0.4315629026177133,3805.0,,0.8137072027198266,,490.0,0.0,CONFIRMED,1.0,True,True,1.0,0.47850928484007516,0.7441839113714905,0.9227622465163018,
#1 Searched Person on Google 2025?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,0.0,,0.0,,490.0,0.0,SUSPECTED,0.6,False,True,1.0,0.1080354147399746,0.9372956850527963,0.942860907747558,
